TestSequence, openh264QP ,  ,      ,       ,   ,   , , openh264BR,  ,       ,      ,   ,   ,  ,  X264_Baseline_BR,  ,  ,  ,   ,   ,  X264_Baseline_QP,  ,  ,  ,    ,  ,  X264_Baseline_BR,  ,  ,  ,    ,   ,  X264_Baseline_QP,  ,  ,  ,    ,  
            , BR,     PSNR_Y, PSNR_U,PSNR_V,FPS, ET, , BR,    PSNR_Y, PSNR_U,PSNR_V,FPS, ET,  ,  BR, PSNR_Y,PSNR_U,PSNR_V,	FPS,   ,  BR, PSNR_Y,PSNR_U,PSNR_V,  FPS,  ,  BR, PSNR_Y,PSNR_U,PSNR_V,  FPS,   ,  BR, PSNR_Y,PSNR_U,PSNR_V,   FPS,
CREW_176x144_30.yuv_QP_24_TarBit_740,740.6 ,40.026 ,41.934 ,41.118 ,640.035501, 0.468724,  ,730.9 ,39.656 ,41.535 ,40.797 ,628.723879, 0.477157, ,760.33,41.234 ,42.569 ,41.998 ,522.97,  ,522.10,38.776 ,40.372 ,39.509 ,589.78,  ,770.22,41.683 ,43.260 ,42.698 ,238.47,  ,529.99,39.194 ,41.081 ,40.251 ,292.42
CREW_176x144_30.yuv_QP_28_TarBit_463,463.2 ,37.247 ,39.547 ,38.442 ,699.760682, 0.428718,  ,457.8 ,36.901 ,39.183 ,38.164 ,678.154606, 0.442377, ,474.59,38.400 ,40.046 ,39.139 ,550.46,  ,314.81,36.144 ,38.075 ,36.892 ,630.45,  ,482.06,38.773 ,40.696 ,39.786 ,287.79,  ,316.83,36.378 ,38.657 ,37.415 ,347.76
CREW_176x144_30.yuv_QP_32_TarBit_265,265.1 ,34.378 ,37.320 ,35.882 ,764.814456, 0.392252,  ,261.4 ,34.009 ,37.221 ,35.800 ,747.474139, 0.398676, ,273.10,35.448 ,37.827 ,36.531 ,587.28,  ,180.54,33.245 ,36.672 ,35.074 ,687.17,  ,277.26,35.699 ,38.384 ,37.053 ,344.18,  ,186.99,33.595 ,37.162 ,35.485 ,410.20
CREW_176x144_30.yuv_QP_36_TarBit_155,155.9 ,31.958 ,35.951 ,34.133 ,854.608333, 0.351038,  ,156.9 ,31.880 ,36.021 ,34.263 ,807.357078, 0.345572, ,160.11,32.855 ,36.391 ,34.736 ,639.70,  ,103.00,30.747 ,35.386 ,33.389 ,780.87,  ,162.77,33.019 ,36.927 ,35.155 ,401.91,  ,108.53,31.059 ,35.951 ,33.814 ,495.69
CREW_352x288_30.yuv_QP_24_TarBit_2321,2321.9 ,40.649 ,43.079 ,42.836 ,167.572863, 1.790266,  ,2299.7 ,40.307 ,42.708 ,42.430 ,166.434768, 1.802508, ,2351.33,41.546 ,43.475 ,43.386 ,138.27,  ,1618.14,39.533 ,41.914 ,41.399 ,150.62,  ,2370.14,41.837 ,43.983 ,43.980 ,67.96,  ,1657.13,39.907 ,42.536 ,42.095 ,79.81
CREW_352x288_30.yuv_QP_28_TarBit_1436,1436.1 ,38.153 ,41.214 ,40.463 ,183.951010, 1.630869,  ,1425.7 ,37.824 ,40.882 ,40.155 ,181.114142, 1.656414, ,1457.78,39.120 ,41.614 ,41.026 ,147.14,  ,966.89,37.110 ,40.150 ,39.156 ,163.49,  ,1476.36,39.398 ,42.138 ,41.616 ,81.03,  ,983.46,37.341 ,40.691 ,39.707 ,94.69
CREW_352x288_30.yuv_QP_32_TarBit_825,825.4 ,35.482 ,39.412 ,38.233 ,203.983110, 1.470710,  ,813.0 ,35.144 ,39.250 ,38.055 ,198.991288, 1.497553, ,842.11,36.475 ,39.891 ,38.831 ,159.99,  ,550.56,34.374 ,38.930 ,37.574 ,182.55,  ,852.36,36.683 ,40.428 ,39.346 ,96.38,  ,577.98,34.708 ,39.450 ,38.000 ,112.69
CREW_352x288_30.yuv_QP_36_TarBit_490,490.8 ,33.189 ,38.144 ,36.641 ,228.709438, 1.311708,  ,490.2 ,33.083 ,38.230 ,36.730 ,215.366719, 1.318681, ,502.20,34.121 ,38.687 ,37.305 ,176.69,  ,316.26,31.995 ,37.641 ,36.049 ,209.96,  ,508.29,34.247 ,39.217 ,37.711 ,113.87,  ,335.06,32.290 ,38.216 ,36.472 ,137.21
HARBOUR_704x576_15_orig_01.yuv_QP_24_TarBit_6885,6885.0 ,39.070 ,44.305 ,46.291 ,38.543597, 3.891697,  ,6887.3 ,38.301 ,44.059 ,45.991 ,38.309929, 3.915434, ,6948.81,39.468 ,44.303 ,46.205 ,36.36,  ,5181.12,37.880 ,43.236 ,45.227 ,38.55,  ,6953.27,39.858 ,44.696 ,46.588 ,15.66,  ,5522.90,38.584 ,43.875 ,45.891 ,17.71
HARBOUR_704x576_15_orig_01.yuv_QP_28_TarBit_4372,4372.1 ,36.328 ,42.889 ,45.013 ,41.700838, 3.597050,  ,4385.1 ,35.611 ,42.734 ,44.751 ,41.289510, 3.632884, ,4405.13,36.844 ,42.928 ,44.919 ,38.28,  ,3139.80,35.373 ,41.937 ,43.918 ,40.98,  ,4408.94,37.105 ,43.357 ,45.414 ,19.37,  ,3268.78,35.728 ,42.535 ,44.628 ,22.16
HARBOUR_704x576_15_orig_01.yuv_QP_32_TarBit_2493,2493.9 ,33.529 ,41.559 ,43.575 ,45.732181, 3.279966,  ,2510.6 ,32.586 ,41.505 ,43.443 ,44.921208, 3.339180, ,2509.72,34.138 ,41.730 ,43.674 ,41.30,  ,1705.33,32.574 ,40.968 ,42.714 ,45.32,  ,2510.98,34.260 ,42.301 ,44.405 ,23.61,  ,1800.72,32.900 ,41.575 ,43.534 ,26.82
HARBOUR_704x576_15_orig_01.yuv_QP_36_TarBit_1382,1382.7 ,31.036 ,40.531 ,42.253 ,51.232973, 2.927802,  ,1399.0 ,30.897 ,40.640 ,42.463 ,49.302888, 2.961287, ,1389.24,31.626 ,40.791 ,42.522 ,45.48,  ,880.28,29.905 ,39.789 ,41.254 ,51.71,  ,1386.87,31.686 ,41.428 ,43.362 ,28.17,  ,935.38,30.174 ,40.568 ,42.261 ,32.68
JBJ_640x480.yuv_QP_24_TarBit_1230,1230.0 ,44.701 ,43.326 ,43.897 ,97.173695, 9.796890,  ,1229.1 ,44.057 ,43.105 ,43.305 ,97.530721, 9.761027, ,1226.45,44.665 ,43.445 ,43.878 ,83.29,  ,749.97,43.606 ,42.797 ,42.902 ,94.70,  ,1228.54,44.768 ,43.537 ,44.017 ,50.35,  ,844.97,43.975 ,43.025 ,43.319 ,60.34
JBJ_640x480.yuv_QP_28_TarBit_622,622.0 ,42.764 ,42.435 ,42.231 ,120.454412, 7.903405,  ,621.7 ,42.110 ,42.150 ,41.713 ,117.091151, 8.130418, ,619.19,42.763 ,42.435 ,42.251 ,98.34,  ,397.35,41.453 ,41.784 ,41.104 ,112.48,  ,622.09,42.807 ,42.510 ,42.362 ,68.31,  ,440.03,41.807 ,42.048 ,41.541 ,80.32
JBJ_640x480.yuv_QP_32_TarBit_348,348.0 ,40.477 ,41.449 ,40.429 ,139.266761, 6.835802,  ,346.8 ,39.940 ,41.327 ,40.189 ,134.289888, 7.007229, ,347.84,40.659 ,41.551 ,40.677 ,111.49,  ,236.59,38.897 ,41.021 ,39.690 ,127.72,  ,349.64,40.687 ,41.670 ,40.827 ,84.67,  ,263.27,39.385 ,41.274 ,40.108 ,97.00
JBJ_640x480.yuv_QP_36_TarBit_224,224.0 ,38.324 ,40.740 ,39.092 ,153.458515, 6.203631,  ,226.6 ,38.246 ,40.767 ,39.214 ,145.109251, 5.905895, ,225.92,38.571 ,40.809 ,39.335 ,121.29,  ,151.64,36.419 ,40.132 ,38.297 ,139.40,  ,227.31,38.571 ,40.963 ,39.587 ,97.53,  ,167.09,36.936 ,40.473 ,38.702 ,110.32
Jiessie_calendar_hat_1280x720_15.yuv_QP_24_TarBit_7810,7810.2 ,42.120 ,44.239 ,44.669 ,21.481900, 38.823381,  ,7765.1 ,41.733 ,44.152 ,44.532 ,21.251631, 39.244046, ,7718.44,42.464 ,44.483 ,44.850 ,18.78,  ,5602.20,40.861 ,43.211 ,43.737 ,20.16,  ,7738.88,42.836 ,44.841 ,45.208 ,9.73,  ,6022.18,41.487 ,43.729 ,44.193 ,10.62
Jiessie_calendar_hat_1280x720_15.yuv_QP_28_TarBit_4402,4402.7 ,39.554 ,42.544 ,43.132 ,24.836563, 33.579525,  ,4376.7 ,39.209 ,42.460 ,43.035 ,24.111864, 34.547308, ,4370.52,40.033 ,42.696 ,43.212 ,22.10,  ,2862.28,38.438 ,41.738 ,42.438 ,24.54,  ,4384.34,40.270 ,42.921 ,43.408 ,12.28,  ,3037.08,38.781 ,42.041 ,42.711 ,13.93
Jiessie_calendar_hat_1280x720_15.yuv_QP_32_TarBit_2124,2124.4 ,36.939 ,41.312 ,42.081 ,30.944148, 26.951784,  ,2123.2 ,36.495 ,41.131 ,41.902 ,29.223694, 28.470049, ,2129.07,37.334 ,41.374 ,42.067 ,27.40,  ,1340.15,35.777 ,40.724 ,41.524 ,31.03,  ,2132.22,37.474 ,41.545 ,42.219 ,17.07,  ,1431.65,36.074 ,40.926 ,41.701 ,19.68
Jiessie_calendar_hat_1280x720_15.yuv_QP_36_TarBit_1112,1112.1 ,34.744 ,40.326 ,41.199 ,36.916830, 22.591322,  ,1101.5 ,34.466 ,40.286 ,41.170 ,34.393774, 22.300548, ,1123.49,35.108 ,40.469 ,41.243 ,32.49,  ,657.35,33.297 ,39.643 ,40.516 ,37.40,  ,1128.19,35.213 ,40.674 ,41.435 ,22.01,  ,694.82,33.538 ,39.956 ,40.797 ,26.47
Jiessie_hat_1280x720_15.yuv_QP_24_TarBit_8601,8601.8 ,42.070 ,44.164 ,44.576 ,20.196307, 38.918006,  ,8584.4 ,41.517 ,43.836 ,44.279 ,20.269689, 38.777112, ,8659.40,42.355 ,44.310 ,44.713 ,17.23,  ,6257.01,40.861 ,43.085 ,43.624 ,18.46,  ,8673.92,42.718 ,44.633 ,45.029 ,8.92,  ,6647.05,41.456 ,43.551 ,44.025 ,9.73
Jiessie_hat_1280x720_15.yuv_QP_28_TarBit_4863,4863.6 ,39.568 ,42.319 ,42.914 ,23.055803, 34.091200,  ,4862.0 ,39.106 ,42.182 ,42.808 ,22.939521, 34.264011, ,4904.28,40.028 ,42.461 ,43.011 ,19.95,  ,3144.99,38.532 ,41.541 ,42.235 ,22.38,  ,4899.77,40.271 ,42.676 ,43.202 ,10.97,  ,3302.17,38.868 ,41.835 ,42.527 ,12.62
Jiessie_hat_1280x720_15.yuv_QP_32_TarBit_2335,2335.7 ,37.081 ,41.116 ,41.845 ,28.934038, 27.165237,  ,2337.2 ,36.659 ,40.940 ,41.670 ,27.679625, 28.287956, ,2376.18,37.473 ,41.174 ,41.841 ,25.22,  ,1492.90,36.020 ,40.596 ,41.309 ,28.60,  ,2367.35,37.636 ,41.324 ,41.997 ,15.36,  ,1564.46,36.321 ,40.770 ,41.489 ,17.87
Jiessie_hat_1280x720_15.yuv_QP_36_TarBit_1252,1252.2 ,35.028 ,40.213 ,40.965 ,34.412942, 22.840244,  ,1246.4 ,34.875 ,40.241 ,40.983 ,31.977927, 22.703160, ,1282.63,35.369 ,40.401 ,41.070 ,30.01,  ,764.73,33.658 ,39.669 ,40.356 ,34.59,  ,1275.01,35.525 ,40.580 ,41.266 ,19.89,  ,782.05,33.904 ,39.936 ,40.643 ,24.09
Jiessie_James_talking_1280x720_30.yuv_QP_24_TarBit_28976,28976.3 ,40.098 ,42.561 ,42.263 ,21.426166, 52.599238,  ,35649.7 ,41.199 ,43.656 ,43.331 ,20.383314, 55.290322, ,28577.76,42.389 ,44.609 ,44.324 ,18.07,  ,17110.72,38.037 ,40.932 ,40.561 ,19.02,  ,28638.14,43.140 ,45.276 ,44.961 ,8.70,  ,18166.32,38.921 ,41.843 ,41.442 ,11.36
